"quantity","truth","mc_mean","mc_bias","mc_sd","sign_correct","power_alpha05","coverage_95","n_reps","n_failed"
"CITT_dk__public_vs_private",62.5,47.9232991762586,-14.5767008237414,66.9333213601567,0.8,0.35,0.9,20,0
"ACITT_targeting__correct",0,-6.24128333238701,-6.24128333238701,31.3161858651342,NA,0.1,0.9,20,0
"ACITT_targeting__under",0,-4.11797726135453,-4.11797726135453,29.8363048158459,NA,0,1,20,0
"ACITT_targeting__over",-56.25,-44.5153359507328,11.7346640492672,89.476101400497,0.75,0.1,0.95,20,0
"ACITT_targeting__dk",0,-6.38769194407628,-6.38769194407628,46.0910866367465,NA,0.05,0.95,20,0
"ACITT_flat__correct",0,-0.525642717283575,-0.525642717283575,22.6453404220664,NA,0.05,0.95,20,0
"ACITT_flat__under",77.730300364459,73.295232011657,-4.43506835280193,21.6540298752196,1,0.75,1,20,0
"ACITT_flat__over",-50,-50.3894810267597,-0.389481026759746,70.9049227694426,0.65,0.15,0.95,20,0
"ACITT_flat__dk",62.5,54.3109911203349,-8.18900887966514,38.2310251563874,0.85,0.5,0.8,20,0
"ACITT_effective__correct",0,-1.47034248567193,-1.47034248567193,20.4263528455842,NA,0.05,0.95,20,0
"ACITT_effective__under",46.6381802186754,48.0578605009624,1.41968028228705,22.9142494028513,1,0.65,0.95,20,0
"ACITT_effective__over",0,11.1116783627715,11.1116783627715,46.7051784144192,NA,0,1,20,0
"ACITT_effective__dk",37.5,40.1415499403821,2.64154994038211,25.7842065700769,0.95,0.4,0.9,20,0
