"quantity","truth","mc_mean","mc_bias","mc_sd","sign_correct","power_alpha05","coverage_95","n_reps","n_failed"
"CITT_dk__public_vs_private",100,97.2020343331808,-2.79796566681924,50.0638953073942,0.97,0.485,0.95,200,0
"ACITT_targeting__correct",0,2.73790336973208,2.73790336973208,30.6220167591268,NA,0.055,0.945,200,0
"ACITT_targeting__under",0,-0.69642809154468,-0.69642809154468,30.8258567852327,NA,0.045,0.955,200,0
"ACITT_targeting__over",-56.25,-57.2613002811293,-1.01130028112932,81.5624518751644,0.745,0.075,0.97,200,0
"ACITT_targeting__dk",0,-0.899417592273048,-0.899417592273048,38.2678430229077,NA,0.045,0.955,200,0
"ACITT_national__correct",0,-0.695337814846694,-0.695337814846694,20.1239501513921,NA,0.045,0.955,200,0
"ACITT_national__under",46.6381802186754,44.3808936167659,-2.25728660190945,23.1909274826945,0.97,0.54,0.945,200,0
"ACITT_national__over",-37.5,-40.9224489317527,-3.42244893175271,56.5020953822757,0.78,0.07,0.96,200,0
"ACITT_national__dk",37.5,37.0270315914285,-0.47296840857144,24.401527251503,0.94,0.315,0.96,200,0
"ACITT_flat__correct",0,-1.66109659192155,-1.66109659192155,24.0617781788564,NA,0.05,0.95,200,0
"ACITT_flat__under",77.730300364459,80.0900363183351,2.35973595387611,25.3139041274071,0.995,0.89,0.955,200,0
"ACITT_flat__over",-50,-56.9674335303466,-6.96743353034665,69.2395027890007,0.82,0.12,0.96,200,0
"ACITT_flat__dk",62.5,61.0744203340253,-1.42557966597473,29.988647424615,0.975,0.565,0.93,200,0
"ACITT_effective__correct",0,-0.389782080721982,-0.389782080721982,21.1003589580876,NA,0.055,0.945,200,0
"ACITT_effective__under",46.6381802186754,47.5668107582042,0.928630539528854,20.9962339800233,0.985,0.54,0.96,200,0
"ACITT_effective__over",0,4.21039398725726,4.21039398725726,52.9838220728522,NA,0.03,0.97,200,0
"ACITT_effective__dk",37.5,35.2662810458646,-2.23371895413538,26.0807425024486,0.92,0.28,0.94,200,0
